,freelancer_ID,name,gender,age,country,language,primary_skill,years_of_experience,hourly_rate (USD),rating,is_active,client_satisfaction,exp_group,age_group
68,250069,Corey Warren,M,41.0,Argentina,Spanish,Ui/Ux Design,6.0,100.0,1.5,0,79.0,Junior,40s
69,250070,Gina Thompson,F,60.0,China,Mandarin,Ui/Ux Design,38.0,20.0,2.0,0,71.0,Veteran,50s
70,250071,Yvonne Berg,F,33.0,South Africa,Afrikaans,Mobile Apps,11.0,40.0,2.6,1,84.0,Junior,30s
71,250072,Thomas Miller,M,60.0,Italy,Italian,Devops,13.0,50.0,1.0,0,79.0,Junior,50s
72,250073,Nicholas Burton,M,40.0,United States,English,Web Development,9.0,100.0,4.5,1,69.0,Junior,40s
73,250074,Jorge Riley,M,59.0,Australia,English,Blockchain Development,4.0,40.0,1.9,0,88.0,Junior,50s
74,250075,Melvin Harris,M,36.0,Italy,Italian,Machine Learning,14.0,100.0,3.7,0,79.0,Junior,30s
75,250076,Jeremy Meyer,M,41.0,India,Hindi,Data Analysis,12.0,30.0,1.9,1,96.0,Junior,40s
76,250077,Timothy Lee,M,59.0,Australia,English,Ai,9.0,75.0,4.0,1,96.0,Junior,50s
77,250078,Diana Bautista,F,54.0,Spain,Spanish,Devops,32.0,40.0,1.8,0,79.0,Veteran,50s
78,250079,Leslie Rodriguez,F,37.0,Canada,English,Graphic Design,9.0,40.0,0.0,1,89.0,Junior,30s
79,250080,Noah Wiggins,M,54.0,India,Hindi,Machine Learning,21.0,100.0,4.6,0,79.0,Professional,50s
80,250081,Bridget Williams,F,33.0,Argentina,Spanish,Ui/Ux Design,12.0,100.0,3.6,0,63.0,Junior,30s
81,250082,Veronica Baker,F,25.0,Egypt,Arabic,Web Development,7.0,40.0,4.4,0,81.0,Junior,20s
82,250083,Andrew Avila,M,34.0,China,Mandarin,Devops,3.0,40.0,4.6,0,74.0,Junior,30s
83,250084,Michael Roberson,M,35.0,South Korea,Korean,Web Development,5.0,75.0,3.2,0,72.0,Junior,30s
84,250085,Austin Jenkins,M,59.0,South Korea,Korean,Ai,30.0,40.0,0.0,1,79.0,Veteran,50s
85,250086,Brenda Green,F,21.0,China,Mandarin,Devops,2.0,100.0,2.6,1,85.0,Beginner,20s
86,250087,Samuel Pierce,M,25.0,United States,English,Mobile Apps,2.0,75.0,3.7,0,79.0,Beginner,20s
87,250088,Briana Smith,F,38.0,Mexico,Spanish,Web Development,19.0,75.0,2.3,0,61.0,Mid,30s
88,250089,Ronald Barrett,M,57.0,Russia,Russian,Ai,16.0,100.0,3.1,0,79.0,Mid,50s
89,250090,Matthew Smith,M,32.0,India,Hindi,Mobile Apps,10.0,20.0,2.4,0,86.0,Junior,30s
90,250091,Logan Huang,M,21.0,Italy,Italian,Devops,2.0,100.0,1.6,1,97.0,Beginner,20s
91,250092,Miranda Hutchinson,F,57.0,Canada,English,Cybersecurity,18.0,50.0,2.4,1,63.0,Mid,50s
92,250093,Paul Richardson,M,53.0,China,Mandarin,Ui/Ux Design,21.0,100.0,2.6,1,97.0,Professional,50s
93,250094,Jose Jones,M,35.0,Russia,Russian,Blockchain Development,3.0,30.0,3.8,1,81.0,Junior,30s
94,250095,Denise Smith,F,54.0,China,Mandarin,Machine Learning,17.0,20.0,1.7,0,69.0,Mid,50s
95,250096,Shelby Mcmahon,F,36.0,Italy,Italian,Ui/Ux Design,0.0,20.0,1.3,1,64.0,Beginner,30s
96,250097,Bethany Wright,F,49.0,Spain,Spanish,Cybersecurity,25.0,50.0,5.0,0,77.0,Professional,40s
97,250098,David Ortiz,M,37.0,United States,English,Blockchain Development,17.0,20.0,3.3,0,96.0,Mid,30s
98,250099,Andrew Lynch,M,34.0,United States,English,Ui/Ux Design,5.0,20.0,1.1,0,74.0,Junior,30s
99,250100,Kristopher Meyers,M,32.0,Egypt,Arabic,Ui/Ux Design,10.0,50.0,1.2,0,89.0,Junior,30s
100,250101,Thomas Roth,M,35.0,India,Hindi,Mobile Apps,0.0,40.0,2.0,1,64.0,Beginner,30s
101,250102,Vicki Brown,F,51.0,Russia,Russian,Graphic Design,2.0,30.0,4.5,0,64.0,Beginner,50s
102,250103,Stacy Sutton,F,50.0,Russia,Russian,Devops,30.0,100.0,3.0,1,73.0,Veteran,50s
103,250104,Kimberly Holland,F,21.0,Turkey,Turkish,Blockchain Development,2.0,50.0,4.9,1,68.0,Beginner,20s
104,250105,Travis Richardson,M,25.0,United States,English,Graphic Design,3.0,30.0,2.6,0,88.0,Junior,20s
105,250106,Jasmin Ho,F,57.0,France,French,Devops,21.0,40.0,2.5,0,77.0,Professional,50s
106,250107,Mark Paul,M,58.0,Russia,Russian,Blockchain Development,3.0,40.0,0.0,1,79.0,Junior,50s
107,250108,Jennifer Lewis,F,45.0,Indonesia,Indonesian,Mobile Apps,19.0,40.0,2.6,1,72.0,Mid,40s
108,250109,Elizabeth Lester,F,23.0,United States,English,Web Development,0.0,20.0,4.7,1,60.0,Beginner,20s
109,250110,Kimberly Griffin,F,46.0,United States,English,Ai,9.0,30.0,3.5,0,72.0,Junior,40s
110,250111,Tyler Warner,M,27.0,Argentina,Spanish,Ui/Ux Design,5.0,30.0,2.6,0,92.0,Junior,20s
111,250112,Jane Cox,F,32.0,United States,English,Machine Learning,6.0,50.0,3.4,1,79.0,Junior,30s
112,250113,Leah Williams,F,48.0,Argentina,Spanish,Machine Learning,6.0,75.0,2.5,0,92.0,Junior,40s
113,250114,Kevin Wong,M,30.0,Turkey,Turkish,Mobile Apps,3.0,30.0,1.1,1,79.0,Junior,30s
114,250115,Robert Andrews,M,59.0,Turkey,Turkish,Ai,13.0,20.0,4.8,0,79.0,Junior,50s
115,250116,Jessica Torres,F,32.0,Mexico,Spanish,Ai,5.0,30.0,2.6,0,86.0,Junior,30s
116,250117,Teresa Kim,F,57.0,Egypt,Arabic,Ui/Ux Design,4.0,40.0,3.4,1,68.0,Junior,50s
117,250118,Jon Morgan,M,27.0,Australia,English,Machine Learning,7.0,20.0,3.2,1,62.0,Junior,20s
118,250119,Gloria Chaney,F,33.0,Indonesia,Indonesian,Machine Learning,13.0,20.0,3.2,0,79.0,Junior,30s
119,250120,Jesse Campbell,M,29.0,South Korea,Korean,Data Analysis,4.0,30.0,0.0,1,82.0,Junior,20s
120,250121,Allison Tucker Md,F,36.0,Indonesia,Indonesian,Ui/Ux Design,13.0,75.0,2.6,1,79.0,Junior,30s
121,250122,Candice Petersen,F,47.0,Italy,Italian,Devops,5.0,40.0,3.7,0,93.0,Junior,40s
122,250123,Christopher Nichols,M,48.0,Canada,English,Machine Learning,15.0,50.0,1.0,1,64.0,Junior,40s
123,250124,Debra Garcia,F,27.0,China,Mandarin,Ui/Ux Design,8.0,50.0,0.0,0,79.0,Junior,20s
124,250125,Andrew Fuentes,M,34.0,Australia,English,Web Development,10.0,40.0,1.7,0,96.0,Junior,30s
125,250126,Jason Carter,M,49.0,South Korea,Korean,Data Analysis,19.0,40.0,5.0,1,83.0,Mid,40s
126,250127,Austin Romero,M,30.0,Brazil,Portuguese,Mobile Apps,10.0,100.0,1.7,1,64.0,Junior,30s
127,250128,Clayton Burns,M,31.0,Egypt,Arabic,Graphic Design,8.0,40.0,4.4,0,70.0,Junior,30s
128,250129,Jonathan Clark,M,58.0,China,Mandarin,Machine Learning,9.0,20.0,0.0,0,65.0,Junior,50s
129,250130,Alexander Griffin,M,47.0,France,French,Machine Learning,13.0,40.0,3.4,0,67.0,Junior,40s
130,250131,Shelly Whitehead,F,45.0,United Kingdom,English,Cybersecurity,14.0,100.0,1.1,0,93.0,Junior,40s
131,250132,Kaitlyn Davis,F,57.0,France,French,Machine Learning,0.0,50.0,1.6,0,60.0,Beginner,50s
132,250133,Christopher Jones,M,50.0,India,Hindi,Web Development,22.0,100.0,4.1,0,62.0,Professional,50s
133,250134,Cindy Jacobs,F,34.0,Brazil,Portuguese,Machine Learning,4.0,40.0,2.5,0,70.0,Junior,30s
134,250135,Penny Day,F,45.0,Indonesia,Indonesian,Blockchain Development,22.0,100.0,4.0,1,75.0,Professional,40s
135,250136,Thomas Ingram,M,60.0,South Africa,Afrikaans,Cybersecurity,39.0,75.0,1.4,0,70.0,Veteran,50s
136,250137,Donna Hansen,F,43.0,United Kingdom,English,Cybersecurity,5.0,50.0,2.6,1,84.0,Junior,40s
137,250138,Donna Bailey,F,39.0,France,French,Cybersecurity,5.0,40.0,1.2,0,83.0,Junior,30s
138,250139,Joshua Armstrong,M,26.0,Mexico,Spanish,Ui/Ux Design,5.0,50.0,0.0,0,79.0,Junior,20s
139,250140,Jonathan Garza,M,31.0,Germany,German,Cybersecurity,11.0,50.0,3.1,0,88.0,Junior,30s
140,250141,Charles Jones,M,52.0,France,French,Ui/Ux Design,15.0,50.0,0.0,1,81.0,Junior,50s
141,250142,Lindsey Miles,F,34.0,India,Hindi,Data Analysis,5.0,20.0,2.2,1,80.0,Junior,30s
142,250143,Eduardo Reed,M,45.0,United Kingdom,English,Web Development,7.0,75.0,3.0,1,67.0,Junior,40s
143,250144,Lee Fowler,M,46.0,United Kingdom,English,Cybersecurity,9.0,20.0,0.0,0,82.0,Junior,40s
144,250145,Steven Jones Jr.,M,56.0,France,French,Ui/Ux Design,21.0,100.0,0.0,1,78.0,Professional,50s
145,250146,Ashley Chen,F,59.0,Germany,German,Ai,7.0,40.0,1.4,0,81.0,Junior,50s
146,250147,Erica Davis,F,54.0,Egypt,Arabic,Blockchain Development,4.0,40.0,1.4,1,74.0,Junior,50s
147,250148,Wayne Gonzales,M,36.0,Germany,German,Ui/Ux Design,7.0,30.0,0.0,0,88.0,Junior,30s
148,250149,Gary Ballard,M,25.0,Mexico,Spanish,Data Analysis,0.0,40.0,0.0,0,90.0,Beginner,20s
149,250150,Maria Mcguire,F,37.0,Russia,Russian,Data Analysis,15.0,40.0,2.9,0,79.0,Junior,30s
150,250151,Matthew Richards,M,41.0,Turkey,Turkish,Data Analysis,10.0,40.0,0.0,0,79.0,Junior,40s
151,250152,Patrick Malone,M,29.0,Spain,Spanish,Data Analysis,11.0,20.0,2.7,0,93.0,Junior,20s
152,250153,Cindy Martin,F,55.0,Argentina,Spanish,Mobile Apps,12.0,100.0,1.8,1,79.0,Junior,50s
153,250154,Anne Edwards,F,38.0,Japan,Japanese,Devops,20.0,75.0,1.1,0,71.0,Mid,30s
154,250155,Mitchell Martin,M,47.0,South Korea,Korean,Devops,29.0,40.0,4.3,1,95.0,Veteran,40s
155,250156,Mitchell Patrick,M,60.0,Brazil,Portuguese,Web Development,15.0,100.0,1.5,0,80.0,Junior,50s
156,250157,Rebecca Lyons,F,43.0,Italy,Italian,Data Analysis,9.0,20.0,2.2,0,79.0,Junior,40s
157,250158,Christian Lopez,M,41.0,South Africa,Afrikaans,Data Analysis,12.0,100.0,3.2,0,62.0,Junior,40s
158,250159,Nathan Blair,M,42.0,Russia,Russian,Devops,2.0,50.0,1.9,0,95.0,Beginner,40s
159,250160,Patricia Lopez,F,20.0,Spain,Spanish,Graphic Design,0.0,40.0,2.5,0,79.0,Beginner,20s
160,250161,Michelle Wu,F,47.0,Indonesia,Indonesian,Ui/Ux Design,12.0,40.0,4.5,0,62.0,Junior,40s
161,250162,Donald Mitchell,M,41.0,Argentina,Spanish,Data Analysis,12.0,30.0,4.1,0,68.0,Junior,40s
162,250163,Sean Gordon,M,56.0,Indonesia,Indonesian,Devops,15.0,75.0,0.0,0,79.0,Junior,50s
163,250164,Gregory Clarke,M,59.0,United Kingdom,English,Devops,29.0,75.0,2.6,0,80.0,Veteran,50s
164,250165,Steven Whitney,M,56.0,Japan,Japanese,Cybersecurity,15.0,40.0,3.7,0,92.0,Junior,50s
165,250166,Robin Acosta,F,41.0,South Africa,Afrikaans,Web Development,12.0,75.0,1.3,1,65.0,Junior,40s
166,250167,John Smith,M,60.0,South Korea,Korean,Mobile Apps,33.0,40.0,3.6,1,87.0,Veteran,50s
167,250168,Susan Baker,F,31.0,Canada,English,Web Development,10.0,75.0,0.0,0,70.0,Junior,30s
168,250169,Anthony Larsen,M,60.0,Argentina,Spanish,Cybersecurity,20.0,40.0,1.4,0,87.0,Mid,50s
169,250170,Nicholas Carpenter,M,46.0,France,French,Devops,23.0,20.0,2.9,0,72.0,Professional,40s
170,250171,Debra Salazar,F,41.0,Netherlands,Dutch,Blockchain Development,12.0,40.0,2.8,0,80.0,Junior,40s
171,250172,William Smith,M,34.0,Japan,Japanese,Ui/Ux Design,0.0,20.0,1.7,0,66.0,Beginner,30s
172,250173,Caroline Gross,F,42.0,Netherlands,Dutch,Graphic Design,7.0,40.0,0.0,1,79.0,Junior,40s
173,250174,Jeremy Sawyer,M,31.0,United Kingdom,English,Data Analysis,4.0,75.0,1.1,1,64.0,Junior,30s
174,250175,Eduardo Burns,M,29.0,Brazil,Portuguese,Ui/Ux Design,9.0,20.0,2.6,0,68.0,Junior,20s
175,250176,Amanda Jones,F,57.0,Australia,English,Graphic Design,17.0,20.0,3.6,0,63.0,Mid,50s
176,250177,Frederick Ware,M,47.0,India,Hindi,Devops,8.0,20.0,4.5,1,72.0,Junior,40s
177,250178,Michael Black,M,47.0,South Africa,Afrikaans,Ai,14.0,30.0,0.0,1,86.0,Junior,40s
178,250179,Patricia Sanders,F,45.0,France,French,Graphic Design,21.0,30.0,1.5,1,73.0,Professional,40s
179,250180,Marc Joseph,M,24.0,Turkey,Turkish,Machine Learning,1.0,30.0,3.7,0,95.0,Beginner,20s
180,250181,Vanessa White,F,31.0,Argentina,Spanish,Mobile Apps,12.0,20.0,2.3,0,90.0,Junior,30s
181,250182,Jennifer Garcia,F,20.0,Mexico,Spanish,Graphic Design,2.0,20.0,2.8,0,78.0,Beginner,20s
182,250183,Michael Zavala,M,38.0,Japan,Japanese,Web Development,3.0,30.0,3.5,0,97.0,Junior,30s
183,250184,Kimberly Williams,F,33.0,Germany,German,Ui/Ux Design,11.0,40.0,0.0,1,65.0,Junior,30s
184,250185,Elizabeth Jenkins,F,31.0,Australia,English,Web Development,4.0,40.0,3.2,1,78.0,Junior,30s
185,250186,Brandon Ford,M,41.0,Spain,Spanish,Machine Learning,21.0,50.0,3.3,1,65.0,Professional,40s
186,250187,Justin House,M,54.0,Turkey,Turkish,Web Development,0.0,20.0,4.9,0,79.0,Beginner,50s
187,250188,Henry Mullen,M,50.0,Mexico,Spanish,Data Analysis,6.0,30.0,2.2,1,95.0,Junior,50s
188,250189,Jesse Cochran,M,48.0,Brazil,Portuguese,Machine Learning,18.0,40.0,2.6,1,88.0,Mid,40s
189,250190,Melissa Rich,F,41.0,Mexico,Spanish,Graphic Design,12.0,40.0,1.8,0,79.0,Junior,40s
190,250191,Patrick Dunlap,M,21.0,South Korea,Korean,Graphic Design,1.0,75.0,4.6,0,92.0,Beginner,20s
191,250192,Troy Carson,M,58.0,Australia,English,Graphic Design,20.0,75.0,2.8,0,75.0,Mid,50s
192,250193,Matthew Smith,M,41.0,Italy,Italian,Devops,12.0,30.0,1.4,0,74.0,Junior,40s
193,250194,Jennifer Cherry,F,58.0,Russia,Russian,Blockchain Development,25.0,30.0,4.2,1,71.0,Professional,50s
194,250195,Brandi Tucker,F,50.0,South Africa,Afrikaans,Graphic Design,20.0,40.0,3.6,1,89.0,Mid,50s
195,250196,Zachary Burke,M,52.0,Indonesia,Indonesian,Web Development,33.0,100.0,1.6,0,66.0,Veteran,50s
196,250197,Thomas Jones,M,34.0,Netherlands,Dutch,Data Analysis,6.0,100.0,2.0,0,79.0,Junior,30s
197,250198,Brian Dunn,M,32.0,France,French,Machine Learning,11.0,40.0,4.3,1,86.0,Junior,30s
198,250199,Shirley Strickland,F,50.0,India,Hindi,Graphic Design,28.0,100.0,4.9,1,86.0,Veteran,50s
199,250200,Nicole Meyers,F,39.0,Argentina,Spanish,Data Analysis,11.0,100.0,3.5,1,82.0,Junior,30s
200,250201,Jill Stephens,F,25.0,Spain,Spanish,Ai,2.0,100.0,2.5,0,87.0,Beginner,20s
201,250202,Heidi Miranda,F,55.0,China,Mandarin,Machine Learning,7.0,100.0,1.7,1,80.0,Junior,50s
202,250203,Jesus Martinez,M,42.0,Italy,Italian,Devops,10.0,100.0,4.6,1,71.0,Junior,40s
203,250204,Adam Payne,M,43.0,Russia,Russian,Mobile Apps,6.0,50.0,2.6,0,77.0,Junior,40s
204,250205,Walter Williams,M,54.0,Italy,Italian,Devops,29.0,30.0,1.7,0,68.0,Veteran,50s
205,250206,Shannon Farmer,F,21.0,Egypt,Arabic,Graphic Design,0.0,20.0,1.8,0,91.0,Beginner,20s
206,250207,Peter Reyes,M,46.0,Canada,English,Ui/Ux Design,5.0,20.0,2.2,0,75.0,Junior,40s
207,250208,Kristen Knight,F,30.0,Spain,Spanish,Blockchain Development,11.0,40.0,1.0,0,90.0,Junior,30s
208,250209,William Moore Jr.,M,36.0,China,Mandarin,Machine Learning,11.0,75.0,3.2,0,93.0,Junior,30s
209,250210,Jennifer Rowe,F,47.0,Germany,German,Data Analysis,15.0,40.0,2.1,1,94.0,Junior,40s
210,250211,Mikayla Henry,F,43.0,Canada,English,Mobile Apps,1.0,50.0,4.6,1,64.0,Beginner,40s
211,250212,Jacob Kerr,M,57.0,South Korea,Korean,Cybersecurity,8.0,20.0,0.0,1,84.0,Junior,50s
212,250213,Ryan Johnson,M,52.0,Italy,Italian,Machine Learning,30.0,20.0,2.8,0,87.0,Veteran,50s
213,250214,Michael Ruiz,M,41.0,Germany,German,Blockchain Development,8.0,40.0,0.0,0,64.0,Junior,40s
214,250215,Monica Roberts,F,22.0,Indonesia,Indonesian,Machine Learning,0.0,100.0,2.7,1,64.0,Beginner,20s
215,250216,Danny Brown,M,41.0,India,Hindi,Machine Learning,12.0,20.0,0.0,1,80.0,Junior,40s
216,250217,Karen Larsen,F,58.0,Spain,Spanish,Mobile Apps,4.0,50.0,3.1,0,90.0,Junior,50s
217,250218,Robert Evans,M,39.0,South Korea,Korean,Web Development,14.0,100.0,0.0,1,92.0,Junior,30s
218,250219,Sean Poole,M,32.0,Indonesia,Indonesian,Graphic Design,14.0,40.0,2.6,0,96.0,Junior,30s
219,250220,Richard Quinn,M,37.0,Canada,English,Ui/Ux Design,2.0,30.0,2.3,1,79.0,Beginner,30s
220,250221,Jennifer Gonzalez,F,21.0,China,Mandarin,Cybersecurity,2.0,100.0,2.4,1,79.0,Beginner,20s
221,250222,James Skinner,M,41.0,South Korea,Korean,Machine Learning,4.0,75.0,2.6,0,85.0,Junior,40s
222,250223,Michelle Hill,F,21.0,Canada,English,Ai,0.0,40.0,1.1,0,79.0,Beginner,20s
223,250224,Jacqueline Williams,F,58.0,China,Mandarin,Machine Learning,9.0,30.0,0.0,1,65.0,Junior,50s
224,250225,Darrell Johnson,M,60.0,Canada,English,Machine Learning,3.0,40.0,4.7,0,63.0,Junior,50s
225,250226,Ryan Crawford,M,27.0,South Africa,Afrikaans,Web Development,2.0,40.0,1.2,0,79.0,Beginner,20s
226,250227,Chelsea Barber,F,29.0,Germany,German,Machine Learning,10.0,40.0,1.2,0,78.0,Junior,20s
227,250228,Elaine Martinez,F,54.0,Canada,English,Graphic Design,33.0,75.0,0.0,1,62.0,Veteran,50s
228,250229,Joseph Kent,M,52.0,Mexico,Spanish,Machine Learning,12.0,40.0,1.2,0,76.0,Junior,50s
229,250230,Megan Welch,F,55.0,Indonesia,Indonesian,Blockchain Development,18.0,100.0,2.9,0,97.0,Mid,50s
230,250231,Stephen Ramirez,M,37.0,Brazil,Portuguese,Blockchain Development,4.0,40.0,2.6,0,79.0,Junior,30s
